truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text
False,"Thank you Senator @ChuckGrassley! #TrumpPence16
https://t.co/YmdH3fcaeW",False,763167671974232064,18713,web,False,6789,False,en,Wed Aug 10 00:18:46 +0000 2016,thank senator @chuckgrassley trumppence
False,"Thank you @SenatorFischer! #TrumpPence16
https://t.co/RMtU6aRZTQ",False,763167345405784064,12183,web,False,3500,False,en,Wed Aug 10 00:17:28 +0000 2016,thank @senatorfischer trumppence
False,"Thank you Wilmington, North Carolina!
#MakeAmericaGreatAgain https://t.co/ZnnaSPF5or",False,763119571309998083,25592,web,False,7794,False,en,Tue Aug 09 21:07:38 +0000 2016,thank wilmington north carolina makeamericagreatagain
False,RT @NRA: But there IS something we will do on #ElectionDay: Show up and vote for the #2A! #DefendtheSecond #NeverHillary,False,763115058058629120,0,web,False,7376,False,en,Tue Aug 09 20:49:42 +0000 2016,rt @nra something electionday show vote defendthesecond neverhillary
False,RT @Carl_C_Icahn: 1/2   Believe Trump gave a great speech.,False,763106383092977664,0,iphone,False,3403,False,en,Tue Aug 09 20:15:14 +0000 2016,rt @carl c icahn believe trump gave great speech
False,"""@LinHen23:  @foxandfriends Loved Trump's answers to voters questions this morning! Trump's economic plan will help #MAGA #NeverHillary""",False,762982360853905408,17700,android,False,5478,False,en,Tue Aug 09 12:02:25 +0000 2016,@linhen @foxandfriends loved trump answers voters questions morning trump economic plan help maga neverhillary
False,"""@sprts08: @realDonaldTrump @foxandfriends great interview.....all solid points on our economy TRUMP2016""",False,762982142783676416,13761,android,False,3831,False,en,Tue Aug 09 12:01:33 +0000 2016,@sprts @realdonaldtrump @foxandfriends great interview solid points economy trump
False,"I am running against the Washington insiders, just like I did in the Republican Primaries. These are the people that have made U.S. a mess!",False,762981606755856384,46194,android,False,16330,False,en,Tue Aug 09 11:59:25 +0000 2016,running washington insiders like republican primaries people made u mess
False,Will be interviewed on @foxandfriends now!,False,762974889275953152,11366,android,False,2180,False,en,Tue Aug 09 11:32:43 +0000 2016,interviewed @foxandfriends
False,Being in Detroit today was wonderful. Quick stop in Ohio to meet with some of our great supporters. Just got back home!,False,762842126900015105,25421,android,False,5674,False,en,Tue Aug 09 02:45:10 +0000 2016,detroit today wonderful quick stop ohio meet great supporters got back home
False,"'As Senator Clinton promised 200,000 jobs in Upstate New York - her efforts fell flat.' https://t.co/I2WqZb5N8P https://t.co/i5S3mtJWpe",False,762790167732035585,17247,iphone,False,7818,False,en,Mon Aug 08 23:18:42 +0000 2016,senator clinton promised jobs upstate new york efforts fell flat
False,Many people are saying that the Iranians killed the scientist who helped the U.S. because of Hillary Clinton's hacked emails.,False,762781826549030912,33221,iphone,False,13133,False,en,Mon Aug 08 22:45:33 +0000 2016,many people saying iranians killed scientist helped u hillary clinton hacked emails
False,Thank you Newt!  https://t.co/Acg0hMvrpr,True,762781418778791936,24922,iphone,False,8864,False,en,Mon Aug 08 22:43:56 +0000 2016,thank newt
False,Thank you Congressman Steven Palazzo! https://t.co/R5Z4CGfjqJ https://t.co/XGSIJJQiGJ,False,762777166476025856,16342,iphone,False,6055,False,en,Mon Aug 08 22:27:02 +0000 2016,thank congressman steven palazzo
False,"Thank you Senator David Perdue!
https://t.co/d0dCUZ20jf https://t.co/LmfiGByFPb",False,762776440681095169,15368,iphone,False,6093,False,en,Mon Aug 08 22:24:09 +0000 2016,thank senator david perdue
False,"Thank you @RepLouBarletta!
https://t.co/bre8u93vac https://t.co/eKtSXUw51R",False,762775525756514304,13424,iphone,False,4625,False,en,Mon Aug 08 22:20:31 +0000 2016,thank @reploubarletta
False,Thank you @NFIB- together we will #MakeAmericaGreatAgain!  https://t.co/wQQIHQKsdK,True,762774321580367872,13160,iphone,False,4487,False,en,Mon Aug 08 22:15:44 +0000 2016,thank @nfib together makeamericagreatagain
False,Thank you!  https://t.co/4p0hzpkVWF,True,762773468479889409,11918,iphone,False,3595,False,en,Mon Aug 08 22:12:21 +0000 2016,thank
False,Thank you Alex!  https://t.co/c2uIa7mndP,True,762771974657495041,13027,iphone,False,4226,False,en,Mon Aug 08 22:06:25 +0000 2016,thank alex
False,My economic policy speech will be carried live at 12:15 P.M. Enjoy!,False,762669882571980801,21015,android,False,5418,False,en,Mon Aug 08 15:20:44 +0000 2016,economic policy speech carried live p enjoy
