source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Thu Jul 28 02:19:57 +0000 2016,False,#poll vault for @realDonaldTrump  https://t.co/JF1F4mjfK1,poll vault @realdonaldtrump,poll vault for @realdonaldtrump
other,Thu Jul 28 02:18:33 +0000 2016,False,"Pot, meet kettle. https://t.co/SslbNkUhvM",pot meet kettle,pot meet kettle
other,Thu Jul 28 00:46:16 +0000 2016,False,"Thank you @ALEC_states for your bold leadership for freedom, limited govt and federalism  https://t.co/FUg8ZpYbOy",thank @alec states bold leadership freedom limited govt federalism,thank you @alec states for your bold leadership for freedom limited govt and federalism
other,Thu Jul 28 00:42:29 +0000 2016,True,"RT @ALEC_states: #AllIssuesAreWomensIssues:
@KellyannePolls - we don't hear about ""mens issues"" because it is assumed nearly all issues ARE…",rt @alec states allissuesarewomensissues @kellyannepolls hear mens issues assumed nearly issues,rt @alec states allissuesarewomensissues @kellyannepolls we don t hear about mens issues because it is assumed nearly all issues are
other,Wed Jul 27 13:44:33 +0000 2016,True,RT @MarkSimoneNY: Terry McAuliffe reveals Hillary is lying about opposing TPP and will turn around and support it: https://t.co/oBb4jxTHDW,rt @marksimoneny terry mcauliffe reveals hillary lying opposing tpp turn around support,rt @marksimoneny terry mcauliffe reveals hillary is lying about opposing tpp and will turn around and support it
other,Wed Jul 27 13:35:41 +0000 2016,False,Won't hear this at the #DNCinPHL  https://t.co/40tBkHUcZz,hear dncinphl,won t hear this at the dncinphl
other,Wed Jul 27 13:34:00 +0000 2016,False,@chuckschumer  https://t.co/XvVQwiYPYV,@chuckschumer,@chuckschumer
other,Wed Jul 27 13:32:09 +0000 2016,False,"Yes! ""I met a girl"" is so offensive, right? And then she let him drive her to IL. Then she dared take his last name https://t.co/e53eg7kYJi",yes met girl offensive right let drive il dared take last name,yes i met a girl is so offensive right and then she let him drive her to il then she dared take his last name
other,Wed Jul 27 12:03:05 +0000 2016,False,great question... https://t.co/A1lQVrsFrL,great question,great question
other,Wed Jul 27 12:02:42 +0000 2016,True,RT @seanspicer: Republicans set up shop in boxing arena to offer counterprogramming during Democratic convention https://t.co/ca8WtWPhRE vi…,rt @seanspicer republicans set shop boxing arena offer counterprogramming democratic convention vi,rt @seanspicer republicans set up shop in boxing arena to offer counterprogramming during democratic convention vi
other,Wed Jul 27 02:48:02 +0000 2016,True,RT @seanspicer: Wanted to help @billclinton with the timeline @DemConvention - we can get u one of these tshirts #DemsInPhilly https://t.co…,rt @seanspicer wanted help @billclinton timeline @demconvention get u one tshirts demsinphilly,rt @seanspicer wanted to help @billclinton with the timeline @demconvention we can get u one of these tshirts demsinphilly
other,Wed Jul 27 02:47:47 +0000 2016,True,"RT @seanspicer: How @BernieSanders Delegates Organized a Walkout @demconvention Under Everyone's Nose
@NBCNews @AlexSeitz

https://t.co/4so…",rt @seanspicer @berniesanders delegates organized walkout @demconvention everyone nose @nbcnews @alexseitz,rt @seanspicer how @berniesanders delegates organized a walkout @demconvention under everyone s nose @nbcnews @alexseitz
other,Wed Jul 27 02:44:59 +0000 2016,False,Or a true love story. (Sigh) https://t.co/GyGEn2OsGb,true love story sigh,or a true love story sigh
other,Wed Jul 27 02:43:57 +0000 2016,False,"Even the #NY Delegation at DNCinPHL did not buy Bill Clinton's line that #Hillary ""so loved being a senator from NY.""",even ny delegation dncinphl buy bill clinton line hillary loved senator ny,even the ny delegation at dncinphl did not buy bill clinton s line that hillary so loved being a senator from ny
other,Wed Jul 27 02:42:26 +0000 2016,False,@billclinton attempts a Herculean task: make #Hillary seem more relatable and likable.,@billclinton attempts herculean task make hillary seem relatable likable,@billclinton attempts a herculean task make hillary seem more relatable and likable
