source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Wed Feb 17 00:24:03 +0000 2016,Great having @MarioLopezExtra out on the campaign trail! Don’t miss the interview on @extratv tonight! https://t.co/bfy3sJYhg4,False,great @mariolopezextra campaign trail miss interview @extratv tonight,great having @mariolopezextra out on the campaign trail don t miss the interview on @extratv tonight
other,Sat Feb 20 12:02:24 +0000 2016,"South Carolina, the polls are now open! I hope I have earned your support. Bring a photo ID &amp; a friend and go vote! https://t.co/vGWUZrPfxL",False,south carolina polls open hope earned support bring photo id friend go vote,south carolina the polls are now open i hope i have earned your support bring a photo id a friend and go vote
other,Mon Feb 01 23:14:01 +0000 2016,RT @SusanRNelson: Going to go caucus for @marcorubio soon!    #Americanvaluesmatter,True,rt @susanrnelson going go caucus @marcorubio soon americanvaluesmatter,rt @susanrnelson going to go caucus for @marcorubio soon americanvaluesmatter
other,Sat Feb 20 13:53:41 +0000 2016,RT @votetimscott: Today's the day South Carolina. I hope you'll join me in voting for the conservative who will win: @marcorubio. https://t…,True,rt @votetimscott today day south carolina hope join voting conservative win @marcorubio,rt @votetimscott today s the day south carolina i hope you ll join me in voting for the conservative who will win @marcorubio
other,Fri Jan 08 18:37:29 +0000 2016,"Thanks for the support, @MarcoRubioNH!  https://t.co/KWSyDsGxSR",False,thanks support @marcorubionh,thanks for the support @marcorubionh
other,Thu Oct 06 15:33:18 +0000 2016,"RT @SenRubioPress: For #BrevardCounty residents looking for shelter from #HurricaneMatthew, evacuation info is here: https://t.co/j8pSIcXi7m",True,rt @senrubiopress brevardcounty residents looking shelter hurricanematthew evacuation info,rt @senrubiopress for brevardcounty residents looking for shelter from hurricanematthew evacuation info is here
other,Tue Jan 05 14:11:03 +0000 2016,RT @TeamMarco: Tune to @FoxNews now! @marcorubio will be on @AmericaNewsroom at 9:10am ET. https://t.co/YjqfFrBUWu,True,rt @teammarco tune @foxnews @marcorubio @americanewsroom et,rt @teammarco tune to @foxnews now @marcorubio will be on @americanewsroom at am et
other,Wed Jan 27 14:40:46 +0000 2016,The first step to fixing our broken education system? Empower those most responsible for a child’s success: parents. https://t.co/qmm3iULiQU,False,first step fixing broken education system empower responsible child success parents,the first step to fixing our broken education system empower those most responsible for a child s success parents
other,Thu Jan 28 00:39:01 +0000 2016,Yet another strong conservative leader has joined our team: https://t.co/S54Vr4wjRG,False,yet another strong conservative leader joined team,yet another strong conservative leader has joined our team
other,Wed May 18 16:38:24 +0000 2016,Venezuela plaza shut down to block protest against Maduro | Miami Herald https://t.co/JRmhZp40uP,False,venezuela plaza shut block protest maduro miami herald,venezuela plaza shut down to block protest against maduro miami herald
other,Mon Jan 04 22:20:18 +0000 2016,@jackcolins1 You'll have to come next time! Should be a lot of fun.,False,@jackcolins come next time lot fun,@jackcolins you ll have to come next time should be a lot of fun
other,Tue Nov 01 17:51:45 +0000 2016,Great crowd at our GOTV rally in Polk County today. Thanks to all the hard working volunteers who are making a huge… https://t.co/y3FqG2bFtw,False,great crowd gotv rally polk county today thanks hard working volunteers making huge,great crowd at our gotv rally in polk county today thanks to all the hard working volunteers who are making a huge
other,Mon Jan 18 23:02:53 +0000 2016,So glad to have this legendary conservative activist on the ground with our team in Iowa: https://t.co/iqhkZBsazb #iacaucus,False,glad legendary conservative activist ground team iowa iacaucus,so glad to have this legendary conservative activist on the ground with our team in iowa iacaucus
other,Wed Oct 26 19:47:01 +0000 2016,"If you haven’t signed up to volunteer yet, click here to lend a hand and help out: https://t.co/Vm23z7cTwJ",False,signed volunteer yet click lend hand help,if you haven t signed up to volunteer yet click here to lend a hand and help out
other,Fri Jul 15 02:04:00 +0000 2016,It appears terrorism has again struck the heart of Europe. Civilized &amp; freedom loving nations cannot allow this to become the new normal.,False,appears terrorism struck heart europe civilized freedom loving nations cannot allow become new normal,it appears terrorism has again struck the heart of europe civilized freedom loving nations cannot allow this to become the new normal
other,Sat Mar 05 03:29:46 +0000 2016,MAINE: I hope I've earned your caucus support. Don't forget to vote tomorrow! #MECaucus https://t.co/23BtYhSs7Y,False,maine hope earned caucus support forget vote tomorrow mecaucus,maine i hope i ve earned your caucus support don t forget to vote tomorrow mecaucus
other,Mon Nov 28 15:41:52 +0000 2016,"Took me a while because it was a busy weekend. #FidelCastro died, #MiamiDolphins won &amp; one other thing happened I w… https://t.co/HBirlwufay",False,took busy weekend fidelcastro died miamidolphins one thing happened w,took me a while because it was a busy weekend fidelcastro died miamidolphins won one other thing happened i w
other,Sun Jan 31 15:43:06 +0000 2016,"When I'm President, America's light will shine again.
https://t.co/PzeSRrFTGQ",False,president america light shine,when i m president america s light will shine again
other,Sat Mar 05 03:00:03 +0000 2016,So much energy at our rally tonight in Overland Park! Thousands excited to vote in the #KSCaucus tomorrow. https://t.co/dY3m7SXEce,False,much energy rally tonight overland park thousands excited vote kscaucus tomorrow,so much energy at our rally tonight in overland park thousands excited to vote in the kscaucus tomorrow
other,Sat Nov 26 19:11:51 +0000 2016,Is this a real statement or a parody? Because if this is a real statement from the PM of Canada it is shameful &amp; em… https://t.co/jqS62nwMB3,False,real statement parody real statement pm canada shameful em,is this a real statement or a parody because if this is a real statement from the pm of canada it is shameful em
